# Notes : Entity List : Filtered by Abundance (20000.0 - 17259352.0) in the Raw Data 
#Interpretation : Pre-Post
#Experiment : AQ pos unique to Salmon 100percent of files - found in plasma Quant
#Flag Value: [Present, Marginal]
#Entities where at least 2 out of 162 samples have flags in [Present, Marginal]
# Technology : MassHunterQuant.LCMS_IDENTIFIED_COMPOUNDS.AQ pos unique to Salmon 100% of files - found in plasma Quant_2021_Nov_19_09_47_22
# Owner : gxuser
# Created On : Fri Nov 19 09:59:14 MST 2021
Compound	Number Passed	report.results_1(raw)	report.results_10(raw)	report.results_100(raw)	report.results_101(raw)	report.results_102(raw)	report.results_103(raw)	report.results_104(raw)	report.results_105(raw)	report.results_106(raw)	report.results_107(raw)	report.results_108(raw)	report.results_109(raw)	report.results_11(raw)	report.results_110(raw)	report.results_111(raw)	report.results_112(raw)	report.results_113(raw)	report.results_114(raw)	report.results_115(raw)	report.results_116(raw)	report.results_117(raw)	report.results_118(raw)	report.results_119(raw)	report.results_12(raw)	report.results_120(raw)	report.results_121(raw)	report.results_122(raw)	report.results_123(raw)	report.results_124(raw)	report.results_125(raw)	report.results_126(raw)	report.results_127(raw)	report.results_128(raw)	report.results_129(raw)	report.results_13(raw)	report.results_130(raw)	report.results_131(raw)	report.results_132(raw)	report.results_133(raw)	report.results_134(raw)	report.results_135(raw)	report.results_136(raw)	report.results_137(raw)	report.results_138(raw)	report.results_139(raw)	report.results_14(raw)	report.results_140(raw)	report.results_141(raw)	report.results_142(raw)	report.results_143(raw)	report.results_144(raw)	report.results_145(raw)	report.results_146(raw)	report.results_147(raw)	report.results_148(raw)	report.results_149(raw)	report.results_15(raw)	report.results_150(raw)	report.results_151(raw)	report.results_152(raw)	report.results_153(raw)	report.results_154(raw)	report.results_155(raw)	report.results_156(raw)	report.results_157(raw)	report.results_158(raw)	report.results_159(raw)	report.results_16(raw)	report.results_160(raw)	report.results_161(raw)	report.results_162(raw)	report.results_163(raw)	report.results_164(raw)	report.results_165(raw)	report.results_17(raw)	report.results_18(raw)	report.results_19(raw)	report.results_2(raw)	report.results_20(raw)	report.results_21(raw)	report.results_22(raw)	report.results_23(raw)	report.results_24(raw)	report.results_25(raw)	report.results_26(raw)	report.results_27(raw)	report.results_28(raw)	report.results_29(raw)	report.results_3(raw)	report.results_30(raw)	report.results_31(raw)	report.results_32(raw)	report.results_33(raw)	report.results_34(raw)	report.results_35(raw)	report.results_36(raw)	report.results_37(raw)	report.results_38(raw)	report.results_39(raw)	report.results_40(raw)	report.results_41(raw)	report.results_42(raw)	report.results_43(raw)	report.results_44(raw)	report.results_45(raw)	report.results_46(raw)	report.results_47(raw)	report.results_48(raw)	report.results_49(raw)	report.results_5(raw)	report.results_50(raw)	report.results_51(raw)	report.results_52(raw)	report.results_53(raw)	report.results_54(raw)	report.results_55(raw)	report.results_56(raw)	report.results_57(raw)	report.results_58(raw)	report.results_59(raw)	report.results_6(raw)	report.results_60(raw)	report.results_61(raw)	report.results_62(raw)	report.results_63(raw)	report.results_64(raw)	report.results_65(raw)	report.results_66(raw)	report.results_67(raw)	report.results_68(raw)	report.results_69(raw)	report.results_7(raw)	report.results_71(raw)	report.results_72(raw)	report.results_73(raw)	report.results_74(raw)	report.results_75(raw)	report.results_76(raw)	report.results_78(raw)	report.results_79(raw)	report.results_8(raw)	report.results_80(raw)	report.results_81(raw)	report.results_82(raw)	report.results_83(raw)	report.results_84(raw)	report.results_85(raw)	report.results_86(raw)	report.results_87(raw)	report.results_88(raw)	report.results_89(raw)	report.results_9(raw)	report.results_90(raw)	report.results_91(raw)	report.results_92(raw)	report.results_93(raw)	report.results_94(raw)	report.results_95(raw)	report.results_96(raw)	report.results_97(raw)	report.results_98(raw)	report.results_99(raw)	report.results_Batch_1_Instrument_QC_5(raw)	report.results_Batch_1_Instrument_QC_6(raw)	report.results_Batch_1_Instrument_QC_7(raw)	report.results_Batch_1_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_5(raw)	report.results_Batch_2_Instrument_QC_6(raw)	report.results_Batch_2_Instrument_QC_7(raw)	report.results_Batch_2_Instrument_QC_8(raw)	report.results_Batch_2_Instrument_QC_9(raw)	report.results_Batch_3_Instrument_QC_5(raw)	report.results_Batch_3_Instrument_QC_6(raw)	report.results_Batch_3_Instrument_QC_7(raw)	report.results_Batch_3_Instrument_QC_8(raw)	report.results_Batch_3_Instrument_QC_9(raw)	report.results_Batch_4_Instrument_QC_10(raw)	report.results_Batch_4_Instrument_QC_5(raw)	report.results_Batch_4_Instrument_QC_6(raw)	report.results_Batch_4_Instrument_QC_7(raw)	report.results_Batch_4_Instrument_QC_8(raw)	report.results_Batch_4_Instrument_QC_9(raw)	report.results_Blank_Plus_Day_1(raw)	report.results_Blank_Plus_Day_4(raw)	report.results_Blank_Plus_Day_8(raw)	Retention Time	CASNumber	Product Mass	Compound Name	Mass Column	Measured Retention Time
PC(18:1(9Z)/18:0)	120	946142.2	719466.1	846086.06	918063.56	1074391.9	1158002.1	924315.44	678815.0	921080.1	905174.3	1227553.1	817438.75	947845.5	364188.38	1123958.1	1879613.2	784244.6	758494.4	782414.3	958410.94	740848.3	445747.38	770953.7	735782.9	1595892.4	845997.44	632805.1	877870.8	160030.31	590318.06	682144.4	818590.56	805056.94	915447.4	1203610.2	627604.94	508487.16	653363.1	1351925.9	847198.0	422163.1	710019.06	1079469.0	977079.6	1133736.4	1004761.8	709700.6	826973.9	835875.06	721287.3	802561.0	595286.6	1087685.8	407172.97	671680.25	1001825.0	921699.5	510987.94	741142.75	495535.53	1062618.2	1407301.6	900094.5	971525.9	1290034.6	1349600.8	742031.75	746165.0	765571.4	618329.44	1041831.6	718879.56	767529.0	977425.8	745123.9	889031.06	624910.5	836007.3	882073.56	1205453.1	1525701.4	1125352.4	458470.8	452354.25	905130.44	929406.75	1442578.2	769308.1	469293.25	1018389.0	2142619.5	949939.06	812651.2	750886.94	554149.75	694384.94	1001088.75	662271.5	992680.7	1303209.9	689501.25	719153.94	856424.8	716620.1	598305.94	621711.3	698460.3	599151.94	1260169.5	971802.06	534120.2	937165.25	1003623.44	441826.16	851127.7	557694.56	1101048.4	1143811.1	801288.4	560663.7	1063638.5	665090.56	875933.8	1236062.4	720977.06	817599.9	997244.7	726754.8	609933.2	653674.0	1034174.44	960647.56	992274.56	569935.1	734895.1	723090.94	1210633.4	1418400.2	470019.94	1613157.1	780888.06	1300917.6	986782.7	1625632.1	744641.94	1280088.0	1251691.0	1574902.5	878945.8	871291.2	778075.25	689275.4	639716.6	873254.5	1461988.8	720218.0	277814.22	549865.56	758388.3	1395878.5	438522.4	1047622.25	1478565.2	896019.5	865750.1	725966.3	816146.25	922008.8	784100.0	819532.5	646081.2	651743.75	638751.44	651250.6	544622.06	489870.25	359979.38	437937.97	449803.84	529995.56	405068.88	457306.1	1.0E-5	2759.2346	467.10547	17.773		788.6173	PC(18:1(9Z)/18:0)	0.0	17.7439
PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))	2	1.0E-5	7663.699	1.0E-5	3370.084	1.0E-5	1.0E-5	8978.977	10161.664	16045.339	3259.7644	1.0E-5	1.0E-5	8676.017	1.0E-5	2637.078	1.0E-5	3328.7458	3607.9717	6539.453	12518.149	2618.263	7230.5083	8739.163	3145.8818	2117.5645	14612.047	2815.913	30317.86	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	13354.413	2999.4968	1.0E-5	4351.1807	7787.4526	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	4764.9146	1464.1492	1.0E-5	10102.34	1.0E-5	5071.171	1.0E-5	1.0E-5	4263.3335	2241.2646	6593.7373	1.0E-5	3055.966	6851.0957	1.0E-5	1.0E-5	4573.725	28061.572	1.0E-5	1.0E-5	14195.003	1.0E-5	1220.8008	9973.973	1.0E-5	2805.7534	2248.0813	1.0E-5	1.0E-5	5813.476	1.0E-5	1.0E-5	14947.826	2452.2776	4398.138	1.0E-5	4030.0452	1503.016	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	3491.8347	16808.049	2964.7334	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2055.8027	4560.9736	2380.048	1.0E-5	2801.0156	2757.284	1.0E-5	4868.479	8612.077	1.0E-5	5229.6074	1.0E-5	1.0E-5	1.0E-5	3386.6687	4829.97	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	5225.1997	4020.1472	1.0E-5	1.0E-5	1.0E-5	1.0E-5	3556.1895	1.0E-5	8883.091	2497.8315	1.0E-5	1.0E-5	10653.183	1.0E-5	1.0E-5	1.0E-5	1.0E-5	19030.404	6032.207	3845.0044	1.0E-5	2917.616	1.0E-5	1.0E-5	6569.486	1.0E-5	4109.9976	7446.906	2800.376	3780.9404	1.0E-5	4900.6626	3542.7422	1.0E-5	1.0E-5	12938.422	1.0E-5	4151.6494	2591.5464	4729.505	1155.3701	16765.297	19202.746	4678.4546	11474.861	18667.8	1.0E-5	2321.3691	6627.232	1.0E-5	5037.8003	45480.523	4259.2837	11204.184	3728.551	15533.311	6068.046	21074.906	1.0E-5	3085.846	13224.751	3979.0503	1.0E-5	1.0E-5	1.0E-5	15.644225		778.5379	PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))	0.0	15.541817
PC(14:0/20:3(5Z,8Z,11Z))	78	32052.393	25988.64	32913.438	33755.266	27950.22	17320.727	6011.533	24320.814	32301.838	51745.555	23964.123	15461.584	31347.236	39010.543	8857.519	54265.96	39545.406	6080.7075	6518.662	1.0E-5	35822.598	47838.477	1.0E-5	13016.185	1.0E-5	21508.719	41952.613	11834.742	35574.414	49372.984	39223.023	5172.158	30087.592	3930.7563	69198.77	2856.1423	30160.072	43510.62	40330.473	32902.14	30816.264	32577.277	31468.63	27502.77	23166.791	17841.775	34959.64	1.0E-5	717.74414	31622.848	1.0E-5	31404.496	59172.527	50403.402	24902.414	5896.62	17439.314	37460.117	8968.131	37577.38	25928.594	65978.336	56647.22	85705.695	27612.926	25788.445	37798.484	5872.1406	61233.684	34127.438	90353.195	50474.03	40211.008	28719.82	7988.174	102818.64	58710.344	38956.07	42148.94	1.0E-5	26395.316	1177.269	58790.523	23613.564	24067.916	29290.45	48070.92	30727.143	36504.316	5480.382	50482.902	17836.434	53207.664	27904.77	25345.229	6131.735	1.0E-5	36449.613	1.0E-5	2104.3853	46039.414	29863.564	25981.777	21487.004	24774.914	16548.674	634.70056	14664.644	1.0E-5	1.0E-5	16046.894	18102.643	44775.344	35014.32	48109.664	16989.316	38143.812	1.0E-5	5636.1504	23784.73	31947.328	30233.488	35451.816	1.0E-5	18979.63	45780.57	44967.785	5308.3545	60821.207	41150.13	9502.861	38743.523	85679.125	14363.52	24191.633	28264.488	46973.457	44291.14	14918.133	42976.945	39619.363	1.0E-5	100358.98	35322.29	41038.9	42290.62	12707.958	43365.367	4385.616	37367.016	17268.148	26198.242	15897.26	30176.898	1226.2029	47176.99	49046.207	23168.4	76962.79	29512.94	27581.984	1.0E-5	138876.31	25584.59	29641.63	1.0E-5	1.0E-5	27575.559	45616.68	23059.992	43023.754	1.0E-5	34755.555	15145.823	29731.125	16952.377	1.0E-5	1.0E-5	28746.307	1.0E-5	18182.457	31363.803	294.63492	1.0E-5	1.0E-5	18.434		756.5558	PC(14:0/20:3(5Z,8Z,11Z))	0.0	18.422733
Ostreasterol	157	13182.108	10077.735	19026.076	8858.8545	21726.252	12319.425	26773.777	9704.174	8455.547	7062.8516	8001.367	31599.963	8398.01	22822.41	3317.0134	36840.03	7088.053	13894.6875	1864.4255	13448.208	13377.367	5359.191	10165.6	6521.6157	9122.482	14035.098	1979.0167	7544.0195	11365.204	3136.1553	2860.6838	6275.012	8401.434	24243.96	21713.375	2372.3896	5594.153	11098.166	8534.791	22599.047	1864.2173	25027.518	9492.262	1510.8425	14418.08	21908.982	4842.1943	6729.8276	2331.9302	8149.1753	3530.1692	20511.928	6984.887	6231.6753	5304.2144	24516.977	28723.771	17504.977	2937.4155	824.20514	5604.2744	15277.869	6719.236	12427.438	13432.094	7812.659	7300.191	7858.3306	20908.164	2192.248	21559.408	1934.5537	1790.2349	5207.914	23742.568	3805.1729	10731.672	23450.867	10388.251	8178.449	8605.308	18210.29	18455.982	4244.4043	677.84045	13906.144	31182.438	9262.3125	5609.2246	1613.1901	36335.47	1006.0427	23853.816	13847.911	6973.845	1701.1007	3008.8625	5291.0376	3884.6736	41895.566	26527.773	12398.723	5478.1416	3439.1753	14670.798	4654.511	7008.0195	4497.0337	7509.761	8501.274	6795.857	16898.074	3980.568	7830.624	12066.371	8476.585	10580.566	42088.25	6433.7534	11340.588	10591.544	4222.342	8767.3125	11190.334	21747.53	2530.7769	18162.36	10452.871	11750.472	21937.598	6785.3096	12113.362	9328.726	3559.0815	2193.8992	7784.731	19157.824	32859.91	14533.856	19174.791	4108.8916	25122.523	30119.865	7588.9307	4281.2627	24745.45	20704.834	37859.785	22752.682	1309.8875	7159.067	15789.767	14115.897	7422.0986	8582.201	13524.674	13256.189	8450.243	5341.877	18611.01	2009.466	8454.834	28249.139	8813.674	11183.238	14984.884	19916.475	9616.539	5956.292	6101.393	6253.8354	11359.066	6275.4077	8473.384	7322.2935	9521.83	17059.69	19647.002	16356.629	13529.472	6320.428	7871.565	1.0E-5	1.0E-5	1.0E-5	17.447002	474-63-5	381.3522	Ostreasterol	0.0	17.421034
C18 - 14.571945	61	6111.6396	18927.25	2070.562	30011.258	16448.166	1.0E-5	1.0E-5	13619.815	10798.816	1227.4205	3031.9226	1.0E-5	1.0E-5	1.0E-5	1912.0762	1.0E-5	7795.558	5742.5327	1.0E-5	1.0E-5	40032.15	66447.5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	7393.7246	1.0E-5	33239.855	10294.338	791.5574	9723.271	1.0E-5	9749.1875	11207.727	1995.8744	11808.495	1.0E-5	1.0E-5	33766.88	1.0E-5	1.0E-5	5539.7036	10542.012	1.0E-5	1.0E-5	1.0E-5	15512.478	7462.7827	889.36865	1.0E-5	9294.131	1.0E-5	1.0E-5	1.0E-5	1.0E-5	1.0E-5	830.73004	10455.717	1.0E-5	1.0E-5	28586.426	34468.17	2497.666	399.55524	1.0E-5	315.8827	136385.11	1.0E-5	4116.6694	1.0E-5	93936.94	1.0E-5	1.0E-5	41873.86	1.0E-5	1.0E-5	1.0E-5	1.0E-5	2579.9775	1.0E-5	1.0E-5	43614.48	1.0E-5	6863.8735	821.3879	5662.335	1.0E-5	25410.777	21483.816	8582.703	2290.017	22813.207	54369.65	1.0E-5	11097.721	1.0E-5	1.0E-5	1.0E-5	44829.68	1.0E-5	1.0E-5	22187.559	46452.38	2388.488	29325.3	18757.979	1634.056	1.0E-5	47416.68	1.0E-5	15048.993	15169.851	17828.246	1.0E-5	52544.926	508.27554	1.0E-5	93685.71	1.0E-5	1.0E-5	1.0E-5	18181.111	2218.4988	1.0E-5	1.0E-5	1.0E-5	1.0E-5	4662.3584	7009.442	14767.086	1.0E-5	26594.129	144015.27	28629.61	12987.246	10101.02	59528.855	1.0E-5	23359.256	1.0E-5	21299.2	26009.777	19394.271	1.0E-5	4766.901	1.0E-5	70948.016	1.0E-5	8715.8545	1.0E-5	11803.499	1.0E-5	2376.6472	1.0E-5	1.0E-5	1.0E-5	1.0E-5	42250.332	12678.68	12691.635	1.0E-5	1.0E-5	15098.108	18536.996	1.0E-5	3716.0945	1.0E-5	20826.893	14214.571	1.0E-5	60171.734	8323.761	5224.5415	15917.046	9408.601	1.0E-5	1.0E-5	62526.67	6361.9824	1.0E-5	1.0E-5	1.0E-5	334.37454	14.571945		804.5527	C18 - 14.571945	0.0	14.730534
SM(d18:2/18:1)	130	76759.16	83610.125	38523.957	112625.984	44784.73	63812.035	7614.603	73808.99	165220.66	67807.34	85313.74	70706.55	103231.664	177343.75	51708.07	252535.39	50471.812	73066.41	79418.08	104450.76	69099.875	73946.83	114078.055	45812.688	33853.344	90260.75	123558.58	40928.69	202399.58	50855.504	49658.05	43366.477	79352.414	2077.372	121531.69	853.71204	62635.35	55268.863	109567.3	83392.83	27822.66	121897.5	57212.535	83768.34	58935.832	86621.96	44784.066	3056.7827	2098.3835	59977.47	61358.445	59629.914	50356.73	64073.766	98947.1	4725.865	86875.17	79176.836	770.31506	58576.84	86605.44	111871.21	40608.76	59071.297	83685.09	48421.41	48746.26	135808.55	108823.98	54230.02	69679.06	78886.88	64915.477	35393.777	6165.255	72512.016	121160.52	91088.03	97414.07	2806.8142	192956.69	2969.4636	45790.797	26141.578	81966.59	108859.93	171730.8	79670.586	38325.164	2562.9504	203999.56	105864.945	177426.27	29122.336	24150.717	37446.227	124424.7	69605.87	94981.555	3504.1653	69656.07	69056.47	44137.707	26721.398	58824.434	51333.074	1.0E-5	32415.834	101533.14	122084.34	55137.973	74541.24	114621.6	74842.52	122154.73	77506.35	117159.78	76680.445	1452.438	76733.78	66215.266	72288.75	273358.06	108703.76	124081.336	109103.4	49085.02	4293.6626	128414.9	96156.73	3266.323	118820.71	159922.48	53983.832	96008.08	64809.445	112405.69	55185.477	90351.81	178736.61	69300.445	71982.8	115480.24	101899.87	125000.31	167980.58	96227.62	108294.586	58626.62	106283.47	65999.07	57520.81	119387.76	53617.008	34924.023	46618.47	94946.266	63874.555	89433.71	94788.71	61976.797	115214.086	98222.625	27018.975	51849.414	59616.02	10290.064	40153.215	38938.355	106139.68	50096.758	52834.258	47285.902	32062.418	42224.523	20447.008	62160.016	27855.62	37224.508	45902.152	60837.773	49238.785	331.3759	1.0E-5	1.0E-5	17.711		731.5455	SM(d18:2/18:1)	0.0	17.7439
PC(18:0/14:0)	141	144464.69	94121.47	70030.53	127208.58	87235.42	164155.61	131205.31	117963.664	139511.83	67119.625	232634.27	106623.17	49639.875	326758.25	124265.65	291267.22	54945.79	144702.48	144170.83	128861.41	76049.49	109606.8	53445.824	87597.82	230026.02	177707.31	119049.92	118529.55	267996.97	108275.336	112370.375	114768.305	51638.53	153671.98	141756.27	83633.695	41932.93	77703.96	200575.52	90102.75	104921.875	64765.547	121381.04	182287.86	84677.22	131244.44	168519.33	88083.836	83098.164	153960.17	80322.75	62393.55	183575.73	173243.08	80811.7	164564.36	157299.72	105462.016	96054.15	87650.63	137210.3	89079.16	180951.73	181495.75	267607.22	254210.84	96604.11	87146.91	120817.34	47831.246	82940.45	58525.473	106403.664	78298.2	176655.62	178924.1	106318.02	138613.81	113951.49	152993.38	294853.3	180034.9	74134.02	77844.45	115256.89	12957.945	163195.31	126548.36	109025.234	126849.055	331666.5	167231.69	115937.3	125624.15	268579.5	92538.766	93348.72	73852.16	108545.734	154104.62	138866.28	85912.734	198380.56	115497.83	66947.49	92607.375	95327.18	89627.27	166603.28	130251.555	99388.625	128079.67	111251.72	93165.04	127137.18	68995.17	249342.12	200311.9	297768.53	106491.08	162270.8	41075.523	135521.73	282002.47	70655.96	114566.79	143936.48	297319.66	1.0E-5	101450.984	153490.98	180192.7	212467.8	136026.83	98187.57	179872.5	203932.39	311872.7	124211.47	326090.1	204338.22	186412.81	165914.17	117662.05	112549.81	103456.25	241711.27	314896.06	125358.86	104665.3	129231.67	81665.57	47931.312	109026.42	206837.36	92853.09	261781.08	1.0E-5	148963.03	212158.06	71676.875	90268.5	5196.4707	132387.83	135995.88	101356.12	105276.91	84479.76	101924.9	79411.77	106539.16	102791.41	81398.91	68891.336	76468.664	51592.582	80611.4	68521.13	78615.86	67811.24	60820.21	79712.91	293.96964	1.0E-5	1.0E-5	17.796999		734.572	PC(18:0/14:0)	0.0	17.752184
Octadecyl fumarate	106	23304.281	35183.86	5019.489	16064.449	1.0E-5	4806.9976	8564.05	8040.5	5119.195	1.0E-5	5790.344	10742.835	12696.161	35866.52	14050.0625	8969.563	34128.582	16063.696	13180.081	5697.1177	1.0E-5	11617.952	7796.995	4117.3594	1.0E-5	1.0E-5	12687.281	4662.1343	6334.078	12717.754	10671.529	8909.22	13529.936	11950.52	9922.421	62074.254	5377.0527	22540.727	110898.44	25349.137	9813.524	17819.418	37673.316	5922.1416	9030.164	13915.24	13436.044	15038.854	8622.147	33086.324	19276.387	33180.945	10782.008	6373.462	13783.056	9839.061	1.0E-5	16178.434	50785.547	1.0E-5	1.0E-5	1.0E-5	1.0E-5	5253.6064	1.0E-5	18881.79	9378.891	6775.2715	16667.355	1.0E-5	19496.89	5827.647	9453.61	1.0E-5	3540.2703	9922.302	26691.832	16525.553	1.0E-5	16201.197	5138.9375	1728.9655	13839.566	17254.15	9558.186	1.0E-5	7646.14	23312.844	17522.664	10533.587	31999.8	14015.865	4901.3315	1.0E-5	2627.5679	1.0E-5	11370.076	1.0E-5	14413.49	14374.009	12197.74	12920.237	14713.669	16208.326	8971.602	9402.9795	1.0E-5	1.0E-5	15566.123	1.0E-5	9345.301	10254.849	1.0E-5	2671.3784	2344.3318	5863.268	2919.8452	12126.124	1.0E-5	10332.478	4086.638	40699.68	54981.062	1.0E-5	8569.084	1.0E-5	15993.138	30863.566	27180.209	18645.1	3861.8547	10040.595	6338.1147	85362.38	34042.703	1.0E-5	31360.44	11552.36	8421.261	1.0E-5	43542.055	44551.027	9818.837	8014.981	2675.3704	12899.25	1.0E-5	7157.676	80.02253	6579.066	13051.257	19543.96	5521.7827	8771.311	6468.6445	49146.18	12997.305	5974.282	12936.012	94334.44	19070.02	9026.481	17195.023	12054.147	12532.25	9310.744	13758.448	11532.823	8569.498	11929.109	5060.1655	18240.271	7890.144	8915.742	15530.097	13668.102	5670.371	10277.787	15083.312	12829.214	9395.052	9344.654	3147.502	1.0E-5	7859.7563	14.583	1741-93-1	369.2987	Octadecyl fumarate	0.0	14.540116
C37 - 14.394997	107	54649.72	31198.37	126647.195	58001.363	135956.31	34218.688	73890.62	79945.305	62144.492	86474.664	19701.658	16530.934	65973.62	31238.658	11766.939	43797.49	22935.92	65704.76	21402.074	65282.484	19635.924	55237.92	85457.89	63813.805	39938.383	1.0E-5	43462.79	13361.075	32153.59	76086.516	264607.06	22437.207	44271.39	93854.25	10683.916	3698.263	10789.258	9721.727	131781.42	58341.273	51250.93	6806.8135	16571.092	1.0E-5	31943.428	29778.688	91932.414	48650.934	22838.262	81264.26	23081.45	37685.695	39880.28	24074.21	53133.29	8156.156	76064.36	89791.35	27079.059	177589.66	21663.988	47660.24	134053.67	50987.875	12091.242	1.0E-5	33016.6	6294.5503	62508.07	23028.576	30099.346	72348.88	93690.35	17803.223	21740.742	59652.254	66124.836	38864.47	290634.47	76710.97	29355.064	17233.893	63529.137	64366.582	40886.855	19155.771	21643.781	70856.734	29881.889	42581.37	156046.16	59534.863	15059.722	81613.984	1.0E-5	9780.561	1.0E-5	57356.434	1194.0568	17050.82	27844.443	32481.549	22392.904	154964.66	1.0E-5	11487.729	65050.832	104659.03	36122.457	52947.594	227907.25	183310.98	24933.607	44146.957	42761.76	95369.86	42559.047	25598.3	29206.986	146926.2	15685.517	25292.555	93484.86	3573.7625	96962.85	1.0E-5	63653.38	27168.414	85549.79	35855.72	34170.164	40421.637	30590.34	79275.2	42659.996	90880.555	89966.734	28938.812	56312.812	19173.004	1.0E-5	67436.26	87817.37	71759.03	60259.656	94495.89	38575.777	53106.387	65691.945	21053.4	57589.3	29607.986	53438.52	82952.08	39813.094	1.0E-5	5586.374	67417.484	44884.043	42571.24	39131.086	11142.096	211603.75	69233.16	35193.754	31908.395	22722.584	71797.766	1.0E-5	15501.824	1.0E-5	11457.609	1.0E-5	1.0E-5	147393.38	64343.832	106578.375	9130.571	89696.76	49900.598	36548.53	70336.37	1.0E-5	1.0E-5	1.0E-5	14.394997		808.5831	C37 - 14.394997	0.0	14.53185
PE(22:1(13Z)/15:0)	90	298643.38	398133.44	245414.06	233924.28	334443.75	159943.45	169149.45	497437.75	278858.9	316707.16	1.0E-5	261110.28	211874.22	618456.94	307974.4	1.0E-5	192143.69	1.0E-5	100647.055	125844.63	1.0E-5	102198.79	265060.16	306820.9	1.0E-5	182544.08	176684.95	201064.6	1.0E-5	273050.03	249572.06	200681.25	274073.47	346079.56	250958.75	373895.44	538694.56	205921.38	185756.38	1.0E-5	1.0E-5	11624.113	72457.08	1.0E-5	279390.03	81716.516	1.0E-5	120638.04	161890.48	201292.95	329935.2	240201.9	403108.28	1.0E-5	243507.31	186006.39	336564.1	169560.1	292227.75	257717.39	415740.53	357445.38	299388.22	290706.53	532217.06	443967.25	1.0E-5	152597.52	293804.12	444313.88	322291.97	343384.28	1.0E-5	167955.78	156996.16	246440.69	241561.19	288407.22	1.0E-5	373949.8	434304.88	372979.3	217431.47	544024.6	329483.84	1.0E-5	157332.6	374680.8	461775.1	240016.3	205427.47	42388.97	1.0E-5	126404.54	1.0E-5	102196.48	220400.64	284923.34	1.0E-5	44982.344	207626.25	1.0E-5	1.0E-5	268588.9	224684.23	264631.03	246784.08	295205.56	284798.4	40863.07	329864.4	390000.88	375452.8	173156.38	197209.55	94482.945	282791.47	185300.14	545357.75	254158.8	299986.94	360244.66	320925.34	289211.94	169694.11	373181.2	303764.75	288907.0	626103.5	683341.9	165602.77	296492.72	319397.16	128951.58	36054.133	150278.5	289118.22	44853.055	1.0E-5	476874.6	22338.648	1.0E-5	426341.84	424357.34	324214.34	558228.5	1.0E-5	318202.78	266459.47	314714.7	180335.0	218368.12	448364.84	275792.8	248315.27	297567.8	215414.62	207457.12	237074.44	1.0E-5	243805.47	163264.5	1.0E-5	141180.72	1.0E-5	57395.86	140295.06	1.0E-5	134175.3	1.0E-5	343720.9	1.0E-5	1.0E-5	207184.75	1.0E-5	323948.84	1.0E-5	1.0E-5	277611.8	1.0E-5	176616.83	199522.06	7795.9546	7929.4243	1466.993	14.339997		760.5858	PE(22:1(13Z)/15:0)	0.0	14.2834835
