"Compound Name" "CASNumber" "Number Passed" "Retention Time" "Measured Retention Time" "Product Mass" "Mass Column"
"PC(18:1(9Z)/18:0)" "" "120" "17.77300" "17.743900" "788.6173" "0"
"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))" "" "  2" "15.64422" "15.541817" "778.5379" "0"
"PC(14:0/20:3(5Z,8Z,11Z))" "" " 78" "18.43400" "18.422733" "756.5558" "0"
"Ostreasterol" "474-63-5" "157" "17.44700" "17.421034" "381.3522" "0"
"C18 - 14.571945" "" " 61" "14.57194" "14.730534" "804.5527" "0"
"SM(d18:2/18:1)" "" "130" "17.71100" "17.743900" "731.5455" "0"
"PC(18:0/14:0)" "" "141" "17.79700" "17.752184" "734.5720" "0"
"Octadecyl fumarate" "1741-93-1" "106" "14.58300" "14.540116" "369.2987" "0"
"C37 - 14.394997" "" "107" "14.39500" "14.531850" "808.5831" "0"
"PE(22:1(13Z)/15:0)" "" " 90" "14.34000" "14.283483" "760.5858" "0"
"LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))" "" " 41" "12.02800" "11.874400" "548.2760" "0"
"OPC-6:0" "136768-22-4" "161" "13.23600" "13.290067" "249.1851" "0"
"PC(20:0/18:4(6Z,9Z,12Z,15Z))" "" "121" "15.11589" "14.995434" "810.6000" "0"
"C51 - 14.315125" "" " 81" "14.31513" "14.242100" "332.2880" "0"
"10,20-Dihydroxyeicosanoic acid" "120727-26-6" "154" "13.87800" "13.753667" "367.2827" "0"
"C53 - 1.3899997" "" " 26" " 1.39000" " 1.319283" "198.9534" "0"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)" "" "156" "17.88200" "17.752184" "732.5574" "0"
"8-Hydroxypurine" "13230-97-2" "123" " 1.22700" " 1.302717" "121.0509" "0"
"LysoPE(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)" "" "142" "12.15400" "12.172433" "528.3096" "0"
"C74 - 1.934" "" "152" " 1.93400" " 1.832550" "215.0165" "0"
"C80 - 15.039" "" "162" "15.03900" "15.078217" "328.3213" "0"
"LysoPC(18:1(9Z))" "3542-29-8" " 27" "14.26500" NA "522.3558" "0"
"Glutarylcarnitine" "" "158" " 1.90400" " 1.799433" "275.1599" "0"
"C93 - 11.12" "" "108" "11.12000" "11.087950" "584.3356" "0"
"Trimethylamine oxide" "1184-78-7" "162" " 1.20600" " 1.079200" " 76.0756" "0"
"Capryloylglycine" "14246-53-8" "162" " 1.28900" " 1.294433" "219.1702" "0"
"C104 - 16.337" "" " 96" "16.33700" "16.344833" "775.5973" "0"
"1,1-Dimethoxynonane" "18824-63-0" "162" " 1.14500" " 1.112317" "193.1549" "0"
"(23S)-23,25-Dihydroxy-24-oxovitamine D3 23-(beta-glucuronide)" "" "161" "12.32000" "12.313200" "627.2945" "0"
"C125 - 11.042" "" "108" "11.04200" "11.087950" "584.3360" "0"
"Prolyl-Asparagine" "" "126" " 1.18900" " 1.211650" "212.1030" "0"
"C132 - 12.282001" "" "158" "12.28200" "12.387716" "766.2868" "0"
"DG(22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)" "" " 28" "20.67000" NA "745.5768" "0"
"C158 - 11.972" "" "156" "11.97200" "11.874400" "901.5460" "0"
"LysoPE(0:0/14:0)" "" "160" "11.20700" "11.195567" "426.2623" "0"
"PE(P-18:0/0:0)" "" "117" "12.53900" "12.429100" "466.3297" "0"
