# Notes : All Entities
# Technology : MassHunter_PROFINDER.IDENTIFIED_COMPOUNDS.New Experiment_2022_Feb_04_14_58_35
# Owner : gxuser
# Created On : Fri Feb 04 14:59:52 MST 2022
Compound	1(raw)	10(raw)	100(raw)	101(raw)	2(raw)	3(raw)	104(raw)	5(raw)	6(raw)	7(raw)	8(raw)	9(raw)	11(raw)	110(raw)	111(raw)	14(raw)	20(raw)	21(raw)	22(raw)	24(raw)	30(raw)	31(raw)	32(raw)	33(raw)	34(raw)	40(raw)	41(raw)	42(raw)	43(raw)	44(raw)	50(raw)	51(raw)	52(raw)	53(raw)	54(raw)	55(raw)	60(raw)	61(raw)	62(raw)	63(raw)	64(raw)	65(raw)	66(raw)	71(raw)	72(raw)	73(raw)	74(raw)	75(raw)	76(raw)	80(raw)	81(raw)	82(raw)	83(raw)	84(raw)	85(raw)	86(raw)	87(raw)	88(raw)	90(raw)	91(raw)	92(raw)	93(raw)	94(raw)	95(raw)	96(raw)	97(raw)	98(raw)	99(raw)	Instrument_QC_5(raw)	Instrument_QC_6(raw)	Batch_1_Instrument_QC_7(raw)	Batch_1_Instrument_QC_8(raw)	Batch_2_Instrument_QC_7(raw)	Batch_2_Instrument_QC_8(raw)	Batch_2_Instrument_QC_9(raw)	Batch_3_Instrument_QC_7(raw)	Batch_3_Instrument_QC_8(raw)	Batch_3_Instrument_QC_9(raw)	Batch_4_Instrument_QC_10(raw)	Batch_4_Instrument_QC_7(raw)	Batch_4_Instrument_QC_8(raw)	Batch_4_Instrument_QC_9(raw)	102(raw)	103(raw)	105(raw)	106(raw)	107(raw)	108(raw)	109(raw)	112(raw)	113(raw)	114(raw)	115(raw)	116(raw)	117(raw)	118(raw)	119(raw)	12(raw)	120(raw)	121(raw)	122(raw)	123(raw)	124(raw)	125(raw)	126(raw)	127(raw)	128(raw)	129(raw)	13(raw)	130(raw)	131(raw)	132(raw)	133(raw)	134(raw)	135(raw)	136(raw)	137(raw)	138(raw)	139(raw)	140(raw)	141(raw)	142(raw)	143(raw)	144(raw)	145(raw)	146(raw)	147(raw)	148(raw)	149(raw)	15(raw)	150(raw)	151(raw)	152(raw)	153(raw)	154(raw)	155(raw)	156(raw)	157(raw)	158(raw)	159(raw)	16(raw)	160(raw)	161(raw)	162(raw)	163(raw)	164(raw)	165(raw)	17(raw)	18(raw)	19(raw)	23(raw)	25(raw)	26(raw)	27(raw)	28(raw)	29(raw)	35(raw)	36(raw)	37(raw)	38(raw)	39(raw)	45(raw)	46(raw)	47(raw)	48(raw)	49(raw)	56(raw)	57(raw)	58(raw)	59(raw)	67(raw)	68(raw)	69(raw)	78(raw)	79(raw)	89(raw)	Batch_1_Instrument_QC_5(raw)	Batch_1_Instrument_QC_6(raw)	Batch_2_Instrument_QC_5(raw)	Batch_2_Instrument_QC_6(raw)	Batch_3_Instrument_QC_5(raw)	Batch_3_Instrument_QC_6(raw)	Batch_4_Instrument_QC_5(raw)	Batch_4_Instrument_QC_6(raw)	Alignment Value	Annotations	CAS Number	ChEBI ID	Compound Name	Formula	HMP ID	Ion Species	KEGG ID	LMP ID	Mass	METLIN ID	PubChem ID	Retention Time
C20H34O2_2	32206.0	36206.0	125397.0	134772.0	31657.0	27989.0	39457.0	77934.0	45034.0	47084.0	24968.0	61595.0	50326.0	43361.0	26402.0	88587.0	72096.0	36981.0	39966.0	19401.0	26282.0	128686.0	23683.0	34750.0	25523.0	28787.0	74136.0	93556.0	50443.0	74304.0	55399.0	56390.0	30621.0	54655.0	59363.0	83551.0	67741.0	18610.0	23894.0	73112.0	48015.0	57480.0	34882.0	35245.0	83541.0	37101.0	61833.0	30596.0	35235.0	52222.0	81939.0	69028.0	26863.0	71985.0	13186.0	60918.0	46227.0	26870.0	66178.0	65946.0	48504.0	62916.0	56368.0	64772.0	96662.0	30291.0	31842.0	40443.0	63110.0	58085.0	72857.0	71354.0	67759.0	69837.0	69902.0	70603.0	69306.0	68454.0	62850.0	62239.0	68918.0	67532.0	141459.0	60231.0	18872.0	13242.0	146842.0	33000.0	57197.0	64387.0	24713.0	57599.0	45936.0	45445.0	48193.0	44926.0	36922.0	67620.0	45235.0	46218.0	16638.0	45585.0	48048.0	73730.0	44971.0	46165.0	61932.0	70059.0	31482.0	48855.0	39337.0	52583.0	59015.0	61330.0	52681.0	28958.0	30353.0	37589.0	57438.0	55783.0	73771.0	37757.0	41907.0	58212.0	28019.0	11138.0	58521.0	30059.0	41796.0	33340.0	40571.0	53047.0	29175.0	42338.0	34662.0	27599.0	119857.0	94631.0	48305.0	35207.0	23166.0	46568.0	39473.0	69129.0	28313.0	28979.0	23802.0	51292.0	40938.0	40870.0	60868.0	56060.0	27688.0	78146.0	51580.0	16111.0	77690.0	33282.0	59605.0	69807.0	75566.0	75579.0	65080.0	187864.0	21444.0	46614.0	36725.0	37817.0	79748.0	78310.0	54752.0	26315.0	45760.0	51084.0	75262.0	60795.0	83376.0	75826.0	68954.0	71219.0	67181.0	69707.0	61127.0	63619.0	C20H34O2_2	C20H34O2_2 [ C20 H34 O2, tgt=86.27, overall=86.27, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C20H34O2_2	C20 H34 O2		[M+H]+			306.2557			10.322015
C46H83N3O15P2	13680.0	20399.0	40517.0	26421.0	21049.0	12166.0	1.0	28713.0	23098.0	41056.0	267421.0	1.0	14831.0	23113.0	42959.0	13077.0	10005.0	28578.0	8600.0	10360.0	12176.0	48672.0	15449.0	11820.0	27121.0	23061.0	40152.0	16181.0	36730.0	122767.0	40602.0	11652.0	163755.0	31886.0	1.0	1.0	1.0	1.0	9191.0	21636.0	165902.0	1.0	16874.0	11392.0	17150.0	14904.0	34378.0	44087.0	13000.0	1.0	11826.0	10816.0	22790.0	1.0	12487.0	53885.0	149334.0	15278.0	11359.0	29742.0	20344.0	8897.0	62916.0	40021.0	28007.0	123803.0	1.0	67900.0	46669.0	47075.0	50785.0	56398.0	51689.0	56639.0	47646.0	49855.0	51438.0	48776.0	47901.0	56518.0	47995.0	49435.0	115254.0	303491.0	1.0	7725.0	1.0	18745.0	1.0	93968.0	22287.0	7719.0	12410.0	1.0	13169.0	26815.0	10161.0	22920.0	37473.0	21851.0	35591.0	20928.0	1.0	1.0	38699.0	40093.0	33620.0	14651.0	1.0	11123.0	26298.0	75726.0	1.0	42317.0	180938.0	1.0	28970.0	27208.0	44384.0	1.0	1.0	15116.0	29038.0	1.0	1.0	1.0	18645.0	37212.0	25473.0	1.0	39630.0	13413.0	71654.0	55795.0	1.0	51656.0	70058.0	12059.0	12368.0	27216.0	14795.0	55366.0	1.0	1.0	8924.0	18220.0	28984.0	1.0	19896.0	1.0	17433.0	63290.0	28181.0	48950.0	1.0	25001.0	8261.0	1.0	26442.0	1.0	23602.0	39793.0	1.0	1.0	1.0	1.0	1.0	76661.0	88624.0	25040.0	201750.0	36047.0	33797.0	1.0	37055.0	1.0	63461.0	50835.0	60476.0	52482.0	45717.0	41334.0	52233.0	51291.0	C46H83N3O15P2	C46H83N3O15P2 [ C46 H83 N3 O15 P2, tgt=88.28, overall=88.28, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C46H83N3O15P2	C46 H83 N3 O15 P2		[M+H]+			979.526			11.2419815
C22H32O2	32029.0	60260.0	53866.0	162984.0	1.0	113708.0	1.0	9178.0	25507.0	29096.0	33334.0	73198.0	80662.0	27073.0	69114.0	17280.0	42957.0	100277.0	30960.0	1.0	32180.0	85384.0	104946.0	66155.0	63565.0	75664.0	59773.0	17560.0	20782.0	104345.0	26316.0	10517.0	79173.0	63983.0	24250.0	1.0	41667.0	115128.0	79831.0	49144.0	63064.0	129305.0	14600.0	82382.0	16618.0	55771.0	1.0	108025.0	79757.0	67180.0	70995.0	44800.0	62965.0	1.0	37483.0	87406.0	73175.0	66238.0	76242.0	1.0	124784.0	1.0	25666.0	81030.0	37239.0	50351.0	70593.0	1.0	1.0	1.0	21732.0	15165.0	5744.0	22610.0	20658.0	19124.0	5180.0	16894.0	32497.0	1.0	1.0	20369.0	66702.0	1.0	48447.0	76157.0	1.0	50543.0	1.0	53441.0	6564.0	10968.0	63766.0	68687.0	10975.0	16265.0	1.0	27553.0	93635.0	54479.0	116485.0	38204.0	37731.0	61471.0	53533.0	12973.0	52349.0	9548.0	52348.0	29096.0	1.0	74462.0	20125.0	1.0	21040.0	7545.0	23955.0	29263.0	66880.0	57817.0	34009.0	75168.0	124346.0	1.0	1.0	91379.0	43788.0	21987.0	42912.0	1.0	59427.0	69461.0	61833.0	45226.0	17701.0	64845.0	28174.0	67288.0	25719.0	46749.0	1.0	68580.0	1.0	27902.0	68663.0	88861.0	37742.0	46046.0	17082.0	141426.0	16044.0	69708.0	13704.0	1.0	1.0	44436.0	36781.0	18520.0	14893.0	1.0	1.0	1.0	73445.0	1.0	54254.0	58190.0	64947.0	57624.0	59330.0	35916.0	56863.0	51479.0	38031.0	39259.0	43492.0	1.0	1.0	25821.0	1.0	25673.0	1.0	26913.0	1.0	8393.0	C22H32O2	C22H32O2 [ C22 H32 O2, tgt=98.29, overall=98.29, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C22H32O2	C22 H32 O2		[M+H]+			328.2407			14.493013
C21H42O4_2	73638.0	90403.0	102049.0	83531.0	99356.0	78640.0	86998.0	113702.0	100771.0	101867.0	68715.0	92006.0	94662.0	125990.0	95208.0	88399.0	59502.0	126305.0	101498.0	51144.0	45482.0	47566.0	40449.0	48107.0	44423.0	55649.0	78047.0	53760.0	71015.0	101501.0	75299.0	72387.0	130061.0	84836.0	136813.0	89082.0	100655.0	88510.0	106090.0	117608.0	65085.0	101118.0	133728.0	89330.0	73679.0	88448.0	85934.0	138671.0	95911.0	124428.0	82775.0	109794.0	102362.0	78479.0	74102.0	107577.0	84338.0	127231.0	102850.0	97504.0	151627.0	99971.0	121887.0	179985.0	114931.0	93849.0	105880.0	83590.0	42303.0	39118.0	35582.0	35269.0	33820.0	39531.0	41261.0	31643.0	38329.0	42325.0	43036.0	31946.0	34467.0	36596.0	81893.0	94591.0	87618.0	150101.0	73929.0	103575.0	113416.0	46978.0	60365.0	126140.0	97862.0	86490.0	61018.0	75867.0	108918.0	91191.0	32517.0	105992.0	45302.0	115245.0	48305.0	57294.0	66349.0	79265.0	65450.0	99277.0	102916.0	78431.0	142479.0	70731.0	47582.0	78274.0	48404.0	87729.0	74799.0	68577.0	55653.0	53634.0	62152.0	64518.0	50615.0	109631.0	87496.0	135237.0	80309.0	78026.0	67931.0	116864.0	110160.0	127228.0	108798.0	146164.0	76290.0	68907.0	45018.0	89252.0	97779.0	73370.0	51196.0	121770.0	104780.0	89822.0	87141.0	106094.0	106227.0	106810.0	48009.0	103518.0	90574.0	85483.0	99728.0	56019.0	40370.0	91115.0	49900.0	40423.0	69749.0	71676.0	49030.0	65862.0	126158.0	113373.0	60583.0	82654.0	119529.0	86764.0	106662.0	82739.0	155679.0	87565.0	87397.0	72561.0	126907.0	48209.0	46012.0	31329.0	41341.0	40164.0	37260.0	30870.0	39263.0	30828.0	C21H42O4_2	C21H42O4_2 [ C21 H42 O4, tgt=83.01, overall=83.01, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C21H42O4_2	C21 H42 O4		[M+H]+			358.3082			14.939964
C27H46NO7P	69946.0	95108.0	138606.0	114325.0	42673.0	115104.0	195230.0	214482.0	108002.0	134309.0	136653.0	108767.0	149462.0	112583.0	153379.0	124937.0	143271.0	64073.0	123605.0	62036.0	187389.0	305173.0	143856.0	75510.0	118867.0	243601.0	138244.0	85237.0	100711.0	120091.0	59944.0	119286.0	186788.0	88217.0	150963.0	66277.0	140771.0	150901.0	105721.0	112240.0	138593.0	105265.0	121827.0	64284.0	119790.0	120684.0	167641.0	237009.0	69587.0	132971.0	196738.0	187677.0	256691.0	127758.0	128597.0	103022.0	153827.0	241159.0	67986.0	119046.0	168336.0	146888.0	166039.0	85117.0	120578.0	84776.0	168022.0	47944.0	196728.0	196023.0	218963.0	214172.0	217049.0	219157.0	203724.0	204442.0	203136.0	186251.0	168105.0	191006.0	189010.0	193322.0	155449.0	58417.0	157832.0	108790.0	105751.0	71064.0	75793.0	71728.0	75975.0	159964.0	169112.0	50478.0	134900.0	122401.0	107469.0	66617.0	107295.0	61813.0	127720.0	79847.0	96859.0	141995.0	122860.0	149550.0	202674.0	235788.0	67550.0	89594.0	120899.0	105418.0	282806.0	195712.0	205936.0	196063.0	71301.0	211749.0	87256.0	135404.0	89220.0	42956.0	222533.0	92236.0	76181.0	111183.0	133084.0	103292.0	90678.0	84078.0	47603.0	100135.0	59232.0	123148.0	201249.0	133811.0	302898.0	166145.0	177274.0	113488.0	152486.0	140258.0	59299.0	101830.0	143424.0	128302.0	101507.0	101382.0	116155.0	43348.0	117554.0	54424.0	127867.0	109602.0	72033.0	95603.0	232240.0	131110.0	129006.0	114411.0	135173.0	66694.0	73216.0	122196.0	163596.0	116499.0	247402.0	237510.0	128398.0	142649.0	112859.0	139764.0	121967.0	97168.0	157605.0	211391.0	245308.0	207943.0	226189.0	222877.0	216159.0	206609.0	206825.0	191535.0	C27H46NO7P	C27H46NO7P [ C27 H46 N O7 P, tgt=85.33, overall=85.33, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C27H46NO7P	C27 H46 N O7 P		[M+H]+			527.3012			12.176019
C46H86NO8P	1478438.0	1422282.0	651143.0	631721.0	1381873.0	1018596.0	1401700.0	1138399.0	1035635.0	1029257.0	1069856.0	763160.0	783331.0	1588353.0	1863159.0	1347873.0	825887.0	1297745.0	1430330.0	612718.0	1524013.0	1332758.0	707684.0	1221537.0	1362130.0	1094754.0	910361.0	994192.0	420290.0	942666.0	562169.0	1533733.0	716344.0	441416.0	923280.0	493990.0	654436.0	868967.0	1270552.0	878263.0	723870.0	1770777.0	1199196.0	2407262.0	797806.0	713884.0	1353683.0	1263957.0	1498454.0	1810084.0	1587835.0	1577276.0	1058523.0	1075470.0	1138615.0	1209794.0	1046970.0	699884.0	454143.0	806301.0	1449977.0	528927.0	344878.0	453520.0	1414573.0	1296086.0	646005.0	1022388.0	146294.0	363353.0	772569.0	768887.0	779325.0	962241.0	876562.0	625510.0	754650.0	1851719.0	714814.0	569320.0	672789.0	460179.0	2218458.0	755303.0	687057.0	884684.0	879639.0	1213051.0	1280876.0	1928764.0	824560.0	983066.0	782305.0	1237942.0	1110464.0	807627.0	846150.0	616449.0	2179120.0	834175.0	1150750.0	830651.0	1251130.0	893730.0	469557.0	973658.0	1075769.0	1853717.0	1547576.0	558424.0	596866.0	700512.0	1265501.0	862463.0	558159.0	832940.0	1248301.0	1115392.0	1341043.0	871944.0	948910.0	929616.0	1073767.0	849003.0	381564.0	774498.0	742810.0	569888.0	1783437.0	765355.0	627754.0	768254.0	536721.0	1505816.0	1467202.0	891253.0	625351.0	1049834.0	1213658.0	983388.0	959954.0	1183606.0	615916.0	718592.0	1035097.0	938427.0	1136551.0	407507.0	881885.0	686577.0	1494257.0	925953.0	1296099.0	743224.0	1463579.0	1527221.0	823969.0	776935.0	850922.0	695987.0	1036240.0	862581.0	730849.0	996924.0	566961.0	2259665.0	1516462.0	1582117.0	375014.0	950403.0	202459.0	1171445.0	414339.0	760931.0	1281607.0	733269.0	296319.0	1320956.0	1173942.0	765946.0	667330.0	856802.0	619340.0	634539.0	C46H86NO8P	C46H86NO8P [ C46 H86 N O8 P, tgt=92.09, overall=92.09, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C46H86NO8P	C46 H86 N O8 P		[M+H]+			811.6095			17.75496
C18H32O2_3	61901.0	114640.0	159389.0	29866.0	33492.0	26643.0	93103.0	67118.0	46859.0	41414.0	37819.0	48399.0	25820.0	86190.0	82192.0	31334.0	57011.0	19184.0	68394.0	37416.0	25266.0	237040.0	54822.0	76751.0	35768.0	86423.0	162126.0	33355.0	34222.0	80449.0	14311.0	72156.0	65412.0	80876.0	84616.0	66203.0	77785.0	82986.0	84766.0	91112.0	68233.0	62924.0	100678.0	59657.0	71272.0	46361.0	154051.0	152819.0	64308.0	126665.0	55300.0	125672.0	60070.0	124583.0	85700.0	138036.0	55476.0	43263.0	97470.0	60067.0	297584.0	50994.0	39489.0	111398.0	151209.0	36517.0	10119.0	69120.0	105824.0	39467.0	79452.0	45048.0	66088.0	43879.0	62762.0	49361.0	40358.0	59687.0	31314.0	47758.0	38963.0	56755.0	95570.0	83656.0	65855.0	100460.0	88110.0	67773.0	35359.0	107478.0	54596.0	79736.0	43747.0	33347.0	92329.0	98094.0	37491.0	39702.0	64808.0	36971.0	34925.0	29821.0	101074.0	34870.0	48862.0	47599.0	35588.0	78747.0	33860.0	30833.0	81412.0	83675.0	86946.0	151173.0	52762.0	29329.0	64872.0	61022.0	52413.0	17314.0	72658.0	21669.0	90824.0	24831.0	42163.0	70636.0	86483.0	93828.0	86181.0	30762.0	69147.0	43950.0	85978.0	143030.0	118870.0	22366.0	109198.0	65492.0	207585.0	73842.0	58924.0	49357.0	27179.0	195797.0	35745.0	93893.0	98831.0	50540.0	69567.0	22757.0	60617.0	30173.0	91657.0	150084.0	150163.0	35555.0	52451.0	44290.0	116552.0	76927.0	61006.0	114240.0	20240.0	61610.0	22888.0	81658.0	69897.0	159351.0	69298.0	66034.0	59903.0	35938.0	64919.0	65988.0	121604.0	64882.0	188968.0	54124.0	116088.0	64308.0	91205.0	67799.0	119586.0	52794.0	C18H32O2_3	C18H32O2_3 [ C18 H32 O2, tgt=88.61, overall=88.61, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C18H32O2_3	C18 H32 O2		[M+H]+			280.2403			16.053974
C21H42O4	870837.0	928783.0	1177539.0	907360.0	1037124.0	923707.0	976398.0	1264223.0	1146063.0	1096563.0	827452.0	1002016.0	967320.0	1364332.0	1101239.0	974985.0	614078.0	1369031.0	1119578.0	588082.0	520908.0	571032.0	458987.0	586787.0	493219.0	688127.0	894797.0	589113.0	760955.0	1149898.0	822851.0	847926.0	1372624.0	902076.0	1514138.0	1049281.0	1065899.0	1041151.0	1212455.0	1348037.0	750140.0	1148898.0	1513569.0	1117241.0	759531.0	887301.0	982974.0	1586230.0	1091696.0	1385585.0	969070.0	1274815.0	1183421.0	951131.0	838177.0	1147596.0	934701.0	1459328.0	1120989.0	1185901.0	1707009.0	1076168.0	1361601.0	1968990.0	1256465.0	1095381.0	1181987.0	978372.0	467314.0	401999.0	413038.0	384323.0	372293.0	409241.0	488841.0	348260.0	401084.0	435135.0	467369.0	347300.0	339991.0	399769.0	1032083.0	1045663.0	993751.0	1511026.0	841926.0	1071760.0	1226393.0	545725.0	754782.0	1367738.0	1045596.0	936586.0	679279.0	900540.0	1178857.0	994176.0	397052.0	1186411.0	517168.0	1266545.0	540877.0	693346.0	737936.0	875589.0	718116.0	1119113.0	1151068.0	866285.0	1504418.0	853266.0	577197.0	898428.0	580480.0	972776.0	874672.0	771542.0	642692.0	616464.0	712269.0	768196.0	607220.0	1189596.0	941170.0	1424823.0	883643.0	753194.0	766782.0	1211667.0	1150215.0	1361569.0	1238897.0	1675262.0	896109.0	785453.0	502971.0	947944.0	1113395.0	826608.0	587460.0	1246554.0	1114049.0	1052611.0	960438.0	1184594.0	1222138.0	1168913.0	545915.0	1145132.0	1100529.0	973503.0	1209105.0	633425.0	490678.0	1121593.0	536647.0	432783.0	784295.0	779992.0	563309.0	736270.0	1418494.0	1278273.0	623905.0	982873.0	1359801.0	1042464.0	1167356.0	933345.0	1755462.0	1045579.0	979886.0	814873.0	1360345.0	586058.0	526988.0	332979.0	465187.0	404522.0	417128.0	366116.0	420690.0	312508.0	C21H42O4	C21H42O4 [ C21 H42 O4, tgt=99.24, overall=99.24, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C21H42O4	C21 H42 O4		[M+H]+			358.3087			15.048011
C27H44NO7P_2	5905363.0	31651.0	64500.0	40978.0	30801.0	121139.0	32462.0	18768.0	22799.0	23932.0	52025.0	29175.0	117474.0	1660657.0	18262.0	47143.0	18177.0	68149.0	6730479.0	121456.0	35791.0	35700.0	70956.0	57455.0	26929.0	31751.0	24249.0	50471.0	31999.0	14456.0	58242.0	20152.0	37597.0	18926.0	19125.0	25234.0	27683.0	80005.0	18933.0	21882.0	94023.0	42255.0	246074.0	41958.0	29711.0	28656.0	21083.0	24380.0	50531.0	26788.0	460707.0	26051.0	18624.0	37717.0	17509.0	24586.0	45809.0	151170.0	51300.0	26293.0	24529.0	19444.0	7881.0	22637.0	29306.0	24007.0	19120.0	28180.0	169268.0	170460.0	180476.0	183396.0	183619.0	186337.0	185430.0	181450.0	178623.0	185445.0	175016.0	171076.0	174874.0	178402.0	27406.0	22123.0	23214.0	26702.0	20849.0	35946.0	207663.0	50482.0	666222.0	64882.0	72576.0	16866.0	17950.0	19694.0	18504.0	29936.0	17690.0	16360.0	154459.0	20172.0	33225.0	23922.0	38191.0	69672.0	20875.0	24709.0	160369.0	20793.0	1015090.0	24046.0	27022.0	52328.0	18760.0	26381.0	1201502.0	25137.0	18057.0	29796.0	22505.0	73515.0	43952.0	34255.0	21705.0	37283.0	69698.0	17686.0	51042.0	542388.0	41598.0	17442.0	20073.0	23096.0	19276.0	36615.0	101108.0	268833.0	326870.0	15581.0	22163.0	15889.0	460755.0	26640.0	22015.0	31676.0	21879.0	57880.0	489630.0	37298.0	18736.0	46867.0	46422.0	28614.0	18193.0	44430.0	21837.0	5057002.0	22502.0	51227.0	21590.0	23454.0	59280.0	26091.0	96109.0	25738.0	53316.0	27986.0	63524.0	22974.0	87377.0	24957.0	21105.0	27940.0	32765.0	40378.0	187678.0	176741.0	189934.0	192246.0	181930.0	184043.0	178496.0	175003.0	C27H44NO7P_2	C27H44NO7P_2 [ C27 H44 N O7 P, tgt=86.78, overall=86.78, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C27H44NO7P_2	C27 H44 N O7 P		[M+H]+			525.2836			7.706012
C16H32O2_2	7067.0	4530.0	137971.0	55935.0	10104.0	9674.0	73203.0	8047.0	6972.0	6698.0	6130.0	4790.0	7992.0	34169.0	34050.0	7788.0	8698.0	9007.0	7339.0	3569.0	4843.0	4545.0	4171.0	6600.0	6148.0	16490.0	15387.0	7020.0	14764.0	8284.0	7482.0	7221.0	8983.0	9818.0	13015.0	11292.0	9235.0	10333.0	63443.0	47813.0	27927.0	6740.0	7644.0	7307.0	3896.0	6675.0	9473.0	6195.0	4807.0	5821.0	6763.0	6572.0	5405.0	8623.0	4188.0	143123.0	70064.0	66883.0	50228.0	78206.0	129783.0	63001.0	60246.0	61103.0	62890.0	53615.0	71577.0	154643.0	31870.0	25620.0	21924.0	19740.0	33208.0	32216.0	32150.0	40475.0	39024.0	40050.0	18767.0	14245.0	14722.0	15687.0	95570.0	95362.0	120077.0	101809.0	5351.0	6688.0	34800.0	28357.0	31495.0	40356.0	38437.0	50290.0	18127.0	33282.0	24273.0	5317.0	15452.0	20626.0	34622.0	26194.0	31719.0	36235.0	95303.0	68294.0	32972.0	60661.0	12500.0	43620.0	71953.0	43403.0	43340.0	49075.0	46598.0	51865.0	35261.0	33874.0	24714.0	34818.0	51875.0	51436.0	66267.0	74482.0	43990.0	45391.0	39877.0	45019.0	57392.0	4364.0	35086.0	60519.0	22861.0	48260.0	56207.0	51956.0	54499.0	36612.0	92615.0	38335.0	4250.0	30771.0	52757.0	73180.0	54184.0	42795.0	39349.0	6696.0	8161.0	5287.0	5149.0	4644.0	7312.0	9084.0	6886.0	3932.0	5244.0	4655.0	7569.0	8545.0	17044.0	6485.0	9110.0	9681.0	7631.0	8721.0	11104.0	12400.0	14633.0	13020.0	5337.0	6039.0	4422.0	3887.0	7585.0	51766.0	29880.0	19448.0	34896.0	33081.0	38219.0	36768.0	20325.0	16072.0	C16H32O2_2	C16H32O2_2 [ C16 H32 O2, tgt=47.23, overall=47.23, tgt=, overall=, tgt=, overall=, tgt=, overall=, tgt=, overall= ]			C16H32O2_2	C16 H32 O2		[M+H]+			256.24			16.479984
