"Compound Name" "CASNumber" "Number Passed" "Retention Time" "Measured Retention Time" "Product Mass" "QualifierMass"
"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))" "" "104" "3.815735" "3.925350" " 778.5403" " 779.5438"
"TG(18:4(6Z,9Z,12Z,15Z)/16:0/18:4(6Z,9Z,12Z,15Z))" "" " 78" "7.499647" "7.666200" " 869.6635" " 864.7059"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)" "" "102" "5.645237" "5.733550" " 663.4979" " 664.5012"
"TG(18:4(6Z,9Z,12Z,15Z)/14:0/18:4(6Z,9Z,12Z,15Z))" "" "  2" "7.197999" NA " 841.6355" " 819.6486"
"C8 - 4.8975625" "" "162" "4.897562" "5.020217" " 780.5542" " 801.5516"
"TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))" "" "150" "7.466922" "7.574950" " 843.6493" " 845.6559"
"C19 - 0.2272" "" "127" "0.227200" NA " 141.9586" " 120.0654"
"C20 - 7.5620003" "" " 21" "7.562000" "7.616433" " 933.6983" " 935.7118"
"C26 - 6.502" "" " 56" "6.502000" "6.463500" " 757.5966" " 759.6082"
"C27 - 4.9550004" "" " 59" "4.955000" "5.078283" " 766.5483" " 767.5506"
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)" "" "125" "6.176000" "6.131683" " 691.5291" " 692.5318"
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))" "" "  5" "5.224796" NA " 818.6081" " 819.6115"
"C30 - 6.218667" "" " 63" "6.218667" "6.272683" " 679.5358" " 680.5069"
"PS(18:0/22:5(7Z,10Z,13Z,16Z,19Z))" "" " 94" "5.227001" "5.219283" " 838.5597" " 860.5428"
